source,destination,distance,avg(dd.avgdelay)
planetlab2.cs.unc.edu,planetlab2.cs.pitt.edu,304.384,23
75-130-96-12.static.oxfr.ma.charter.com,planetlab-01.vt.nodes.planet-lab.org,575.302,23
node1.planetlab.mathcs.emory.edu,planetlab2.cs.pitt.edu,506.609,23.11111111111111
planetlab3.eecs.umich.edu,planetlab1.cs.okstate.edu,831.276,23.22222222222222
planetlab1.cs.okstate.edu,planetlab3.eecs.umich.edu,831.276,23.444444444444443
planetlab2.arizona-gigapop.net,planetlab2.cs.ucla.edu,451.607,23.555555555555557
node2.planetlab.mathcs.emory.edu,planetlab2.cs.pitt.edu,506.609,23.555555555555557
planetlab2.cs.pitt.edu,node1.planetlab.mathcs.emory.edu,506.609,23.6
planetlab2.cs.pitt.edu,node2.planetlab.mathcs.emory.edu,506.609,23.6
planetlab-04.vt.nodes.planet-lab.org,planetlab1.cnis.nyit.edu,442.085,23.666666666666668
planetlab3.eecs.umich.edu,planetlab3.wail.wisc.edu,293.152,24
planetlabone.ccs.neu.edu,planetlab2.cs.unc.edu,618.199,24
planetlab01.cs.washington.edu,planetlab2.unr.edu,574.294,24
planetlab02.cs.washington.edu,planetlab1.unr.edu,574.294,24
planetlab01.cs.washington.edu,planetlab1.unr.edu,574.294,24
ebb.colgate.edu,planetlab-01.vt.nodes.planet-lab.org,465.687,24
planetlab3.wail.wisc.edu,planetlab3.eecs.umich.edu,293.152,24
planetlab2.cs.pitt.edu,planetlab2.cs.unc.edu,304.384,24
planetlab1.unr.edu,planetlab01.cs.washington.edu,574.294,24
planetlab1.unr.edu,planetlab02.cs.washington.edu,574.294,24
planetlab02.cs.washington.edu,planetlab2.unr.edu,574.294,24
planetlab2.unr.edu,planetlab02.cs.washington.edu,574.294,24.055555555555557
planetlab2.unr.edu,planetlab01.cs.washington.edu,574.294,24.055555555555557
planetlab2.citadel.edu,planetlab1.cs.unc.edu,221.999,24.125
pl2.cs.unm.edu,planetlab3.ucsd.edu,625.075,24.2
planetlab2.cs.pitt.edu,planetlab1.temple.edu,256.586,24.22222222222222
planetlab-04.vt.nodes.planet-lab.org,planetlab1.cs.uml.edu,610.549,24.22222222222222
planetlabtwo.ccs.neu.edu,planetlab2.cs.unc.edu,618.199,24.333333333333332
planet3.cc.gt.atl.ga.us,planetlab3.eecs.umich.edu,589.683,24.38888888888889
pl3.cs.unm.edu,planetlab3.ucsd.edu,625.075,24.4
pl3.cs.unm.edu,planetlab1.ucsd.edu,625.075,24.428571428571427
planetlab1.cs.ucla.edu,planetlab2.arizona-gigapop.net,451.607,24.444444444444443
planetlab3.eecs.umich.edu,planet3.cc.gt.atl.ga.us,589.683,24.444444444444443
planetlab1.arizona-gigapop.net,planetlab2.cs.ucla.edu,451.607,24.444444444444443
planetlab2.cs.unc.edu,planetlabone.ccs.neu.edu,618.199,24.5
planetlab2.cs.unc.edu,planetlabtwo.ccs.neu.edu,618.199,24.5
planetlab1.arizona-gigapop.net,planetlab1.cs.ucla.edu,451.607,24.666666666666668
planetlab1.cnis.nyit.edu,planetlab-04.vt.nodes.planet-lab.org,442.085,24.666666666666668
planetlab1.cs.unc.edu,planetlab2.cs.pitt.edu,304.384,24.75
planetlab3.ucsd.edu,pl3.cs.unm.edu,625.075,24.75
planetlab2.cs.pitt.edu,planet3.cc.gt.atl.ga.us,509.245,24.8
planetlab1.unr.edu,planetlab3.ucsd.edu,482.211,25
planetlab2.unr.edu,planetlab3.ucsd.edu,482.211,25
planetlab1.ucsd.edu,planetlab2.unr.edu,482.211,25
planetlab3.ucsd.edu,planetlab2.unr.edu,482.211,25
planetlab1.ucsd.edu,planetlab1.unr.edu,482.211,25
node1.planetlab.mathcs.emory.edu,planetlab3.eecs.umich.edu,588.6,25
planetlab3.ucsd.edu,planetlab1.unr.edu,482.211,25
planetlab2.unr.edu,planetlab1.ucsd.edu,482.211,25
planetlab3.eecs.umich.edu,node2.planetlab.mathcs.emory.edu,588.6,25.1
planetlab3.eecs.umich.edu,node1.planetlab.mathcs.emory.edu,588.6,25.1
node2.planetlab.mathcs.emory.edu,planetlab3.eecs.umich.edu,588.6,25.11111111111111
planet3.cc.gt.atl.ga.us,ebb.colgate.edu,787.204,25.8
ebb.colgate.edu,node2.planetlab.mathcs.emory.edu,784.142,26
planetlab3.ucsd.edu,planetlab3.cs.uoregon.edu,832.625,26
planetlab1.ucsd.edu,planetlab2.cs.uoregon.edu,832.625,26
planetlab3.ucsd.edu,planetlab2.cs.uoregon.edu,832.625,26
