source,destination,distance,avgdelay
planetlab2.unl.edu,planetlabone.ccs.neu.edu,1324.36,524
planetlab3.eecs.umich.edu,planetlab2.cnis.nyit.edu,532.051,525
planetlab5.csee.usf.edu,planetlab3.ucsd.edu,2090.82,525
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.cnis.nyit.edu,137.18,525
planetlab5.csee.usf.edu,planetlab1.ucsd.edu,2090.82,525
planetlab5.csee.usf.edu,planetlab1.ucsd.edu,2090.82,525
planetlab2.arizona-gigapop.net,planetlab1.unr.edu,707.239,525
planetlab2.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,525
planetlab1.ucsd.edu,planetlab5.csee.usf.edu,2090.82,525
planetlab2.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,525
planetlab1.ucsd.edu,planetlab5.csee.usf.edu,2090.82,525
planetlab1.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,525
planetlab3.eecs.umich.edu,planetlab1.cs.uml.edu,631.168,525
planetlab1.ucsd.edu,planetlab1.acis.ufl.edu,2067.33,525
planetlab-04.vt.nodes.planet-lab.org,planetlab01.cs.washington.edu,2224.59,525
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,525
planetlab3.ucsd.edu,planetlab5.csee.usf.edu,2090.82,525
planetlab1.cs.okstate.edu,planetlab2.temple.edu,1218.48,525
planetlab2.cs.du.edu,planetlabone.ccs.neu.edu,1766.79,526
planetlab2.cs.pitt.edu,planetlab1.unr.edu,2093.1,526
planetlab01.cs.washington.edu,planetlab1.cnis.nyit.edu,2415.88,526
planetlab-04.vt.nodes.planet-lab.org,pl3.cs.unm.edu,1466.68,526
planetlab1.acis.ufl.edu,planetlab1.ucsd.edu,2067.33,526
planet3.cc.gt.atl.ga.us,pl3.cs.unm.edu,1268.79,526
planetlab2.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,526
75-130-96-12.static.oxfr.ma.charter.com,planetlab5.csee.usf.edu,1148.32,526
planetlab1.cs.du.edu,planetlab2.cs.uoregon.edu,976.442,526
planetlab2.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,526
planetlab4.cs.uoregon.edu,planetlab2.uta.edu,1598.03,526
planetlab2.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,526
planet3.cc.gt.atl.ga.us,pl3.cs.unm.edu,1268.79,526
node2.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,526
planetlab2.citadel.edu,75-130-96-12.static.oxfr.ma.charter.com,791.667,526
planetlab1.cs.okstate.edu,planetlab2.cs.ucla.edu,1213.96,526
planet3.cc.gt.atl.ga.us,pl1.cs.montana.edu,1626.05,527
planetlab5.csee.usf.edu,node1.planetlab.mathcs.emory.edu,411.823,527
planetlab1.cs.okstate.edu,planetlab2.cs.uoregon.edu,1471.11,527
planetlab2.cs.uoregon.edu,planetlab1.cs.okstate.edu,1471.11,527
planet3.cc.gt.atl.ga.us,pl1.cs.montana.edu,1626.05,527
node2.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,527
planetlab2.arizona-gigapop.net,planetlab1.cs.ucla.edu,451.607,527
planetlab1.cs.okstate.edu,planetlab1.temple.edu,1218.48,527
node1.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,527
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,527
planetlab2.cs.du.edu,planetlab2.cs.uoregon.edu,976.442,527
planetlab3.wail.wisc.edu,planetlab2.unl.edu,405.699,527
planetlab3.wail.wisc.edu,planetlab2.unl.edu,405.699,527
planetlabone.ccs.neu.edu,planetlab-04.vt.nodes.planet-lab.org,612.177,528
node2.planetlab.mathcs.emory.edu,planetlab2.cnis.nyit.edu,762.242,528
node2.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,528
planetlab1.cs.unc.edu,planetlab1.temple.edu,351.333,528
planetlab2.citadel.edu,planetlab2.arizona-gigapop.net,1799.36,528
node2.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,528
planetlab3.cs.uoregon.edu,planetlab2.cs.du.edu,976.442,528
planetlab1.cs.ucla.edu,planetlab1.arizona-gigapop.net,451.607,529
pl2.cs.unm.edu,node2.planetlab.mathcs.emory.edu,1272.71,529
planetlab2.cs.du.edu,planetlab4.cs.uoregon.edu,976.442,529
planet3.cc.gt.atl.ga.us,planetlab2.temple.edu,666.111,529
planetlab3.cs.uoregon.edu,planetlab2.uta.edu,1598.03,529
planetlab2.cs.du.edu,planetlab1.unr.edu,789.709,529
planetlab01.cs.washington.edu,ebb.colgate.edu,2265.25,529
ebb.colgate.edu,planetlab1.cnis.nyit.edu,170.413,529
planetlab1.acis.ufl.edu,planetlab2.cnis.nyit.edu,910.347,529
planetlab2.unr.edu,planetlab2.cs.du.edu,789.709,529
planetlab2.cs.pitt.edu,planetlab2.unl.edu,874.778,529
planetlab3.wail.wisc.edu,planetlab2.unl.edu,405.699,529
planet3.cc.gt.atl.ga.us,planetlab2.temple.edu,666.111,529
planetlab3.ucsd.edu,node2.planetlab.mathcs.emory.edu,1892.9,530
planetlab1.acis.ufl.edu,planetlabtwo.ccs.neu.edu,1076.45,530
planetlab2.unr.edu,planetlab3.cnds.jhu.edu,2283.47,530
planetlab1.temple.edu,planetlab1.arizona-gigapop.net,2053.47,530
planetlab3.cs.uoregon.edu,planetlab2.uta.edu,1598.03,530
pl1.cs.montana.edu,planetlab3.wail.wisc.edu,1081.38,530
planetlab3.cnds.jhu.edu,planetlab1.cs.okstate.edu,1137.94,530
planetlab2.unr.edu,planetlab1.cs.du.edu,789.709,530
planetlab1.acis.ufl.edu,planetlab1.cnis.nyit.edu,910.347,530
planetlab1.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,530
pl1.cs.montana.edu,planetlab2.cs.pitt.edu,1602.95,530
planetlab1.cs.okstate.edu,planetlab4.cs.uoregon.edu,1471.11,530
planetlab2.cs.du.edu,planetlab1.cs.uml.edu,1749.99,531
planetlab5.csee.usf.edu,planetlab1.ucsd.edu,2090.82,531
node1.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,531
node2.planetlab.mathcs.emory.edu,planetlab2.temple.edu,662.495,531
planetlab2.cs.pitt.edu,ebb.colgate.edu,290.74,531
planetlab1.ucsd.edu,node1.planetlab.mathcs.emory.edu,1892.9,531
planetlab1.cs.okstate.edu,planetlab2.cs.uoregon.edu,1471.11,532
node2.planetlab.mathcs.emory.edu,planetlab3.ucsd.edu,1892.9,532
planetlab1.acis.ufl.edu,planetlabtwo.ccs.neu.edu,1076.45,532
planetlab2.temple.edu,planetlab2.arizona-gigapop.net,2053.47,532
node2.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,532
planetlab02.cs.washington.edu,pl3.cs.unm.edu,1184.83,532
planetlab1.acis.ufl.edu,planetlab1.cs.uml.edu,1082.48,532
planetlab1.temple.edu,planetlab2.arizona-gigapop.net,2053.47,532
node1.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,532
planetlab2.citadel.edu,planetlab3.cs.uoregon.edu,2427.88,532
node2.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,533
node2.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,533
node2.planetlab.mathcs.emory.edu,planetlab1.ucsd.edu,1892.9,533
ebb.colgate.edu,planetlab1.unr.edu,2287.31,533
planetlab2.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,533
planetlab2.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,533
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,533
planetlab4.cs.uoregon.edu,planetlab1.cs.okstate.edu,1471.11,533
planetlab3.ucsd.edu,planetlab5.csee.usf.edu,2090.82,533
planetlab2.arizona-gigapop.net,planetlab5.csee.usf.edu,1723.89,533
planetlab2.acis.ufl.edu,planetlab3.ucsd.edu,2067.33,534
planetlab1.cs.okstate.edu,planetlab2.cs.uoregon.edu,1471.11,534
planetlab2.cs.pitt.edu,pl1.cs.montana.edu,1602.95,534
planetlab2.cs.ucla.edu,planetlab3.eecs.umich.edu,1954.72,534
planetlab2.unr.edu,ebb.colgate.edu,2287.31,534
planetlab1.temple.edu,planetlab2.arizona-gigapop.net,2053.47,534
planetlab2.cs.pitt.edu,pl3.cs.unm.edu,1494.69,535
planetlab3.cnds.jhu.edu,pl3.cs.unm.edu,1671.68,535
planetlab1.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,535
pl2.cs.unm.edu,planetlab1.cs.okstate.edu,542.71,535
planetlab2.cs.du.edu,planetlab1.cs.ucla.edu,838.534,535
planetlab2.acis.ufl.edu,planetlab2.cs.du.edu,1456.94,535
planetlab1.cs.uml.edu,planetlab1.unr.edu,2499.26,535
planetlab1.cs.du.edu,planetlab2.cs.pitt.edu,1318.13,536
pl2.cs.unm.edu,planetlab3.wail.wisc.edu,1075.15,536
planetlab1.cs.unc.edu,planetlab1.cnis.nyit.edu,448.076,536
planetlab1.acis.ufl.edu,planetlab1.cs.du.edu,1456.94,536
node1.planetlab.mathcs.emory.edu,planetlab2.temple.edu,662.495,536
planet3.cc.gt.atl.ga.us,planetlab1.ucsd.edu,1888.91,536
planetlab1.acis.ufl.edu,planetlab3.wail.wisc.edu,1005.74,536
planetlab1.acis.ufl.edu,planet3.cc.gt.atl.ga.us,309.463,536
planetlab1.acis.ufl.edu,planet3.cc.gt.atl.ga.us,309.463,536
planetlab3.cnds.jhu.edu,node2.planetlab.mathcs.emory.edu,574.391,536
planet3.cc.gt.atl.ga.us,planetlab1.ucsd.edu,1888.91,536
planetlab2.acis.ufl.edu,planetlab2.arizona-gigapop.net,1703.38,536
planetlab1.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,537
planetlab1.cs.unc.edu,node2.planetlab.mathcs.emory.edu,333.827,537
planetlab2.cs.ucla.edu,pl3.cs.unm.edu,674.089,537
